alpha,cl
2.1261283615203648,-0.792395437262357
2.1578616206475347,-0.8228136882129276
2.1790171267323144,-0.8410646387832701
2.2107503858594844,-0.8714828897338398
2.237194768465459,-0.8958174904942964
2.2689280275926285,-0.9201520912547524
2.305950163240993,-0.932319391634981
2.3482611754105522,-0.9505703422053232
2.3852833110589167,-0.9505703422053232
2.4170165701860866,-0.9505703422053232
2.459327582355646,-0.9444866920152092
2.496349718004011,-0.932319391634981
2.5333718536523753,-0.9140684410646384
2.57039398930074,-0.8897338403041823
2.6021272484279097,-0.8593155893536117
2.628571631033884,-0.8288973384030416
2.665593766682249,-0.7863117870722434
2.702615902330613,-0.7437262357414447
2.739638037978978,-0.7072243346007601
2.7713712971061475,-0.688973384030418
2.808393432754512,-0.6707224334600759
2.845415568402877,-0.6768060836501899
2.8771488275300463,-0.695057034220532
2.908882086657216,-0.7193916349809881
2.9300375927419955,-0.7558935361216728
2.9459042223055802,-0.7984790874524714
2.95648197534797,-0.8349809885931556
2.9723486049115553,-0.8775665399239543
2.982926357953945,-0.8897338403041823
2.99879298751753,-0.8714828897338398
3.0093707405599193,-0.8471482889733837
3.0199484936023095,-0.8106463878326995
3.0358151231658943,-0.7619771863117868
3.0516817527294786,-0.7133079847908745
3.062259505771869,-0.6768060836501899
3.067548382293064,-0.6281368821292772
3.078126135335454,-0.5855513307984788
3.0834150118566486,-0.5307984790874523
3.093992764899039,-0.4760456273764255
3.0992816414202333,-0.421292775665399
3.1098593944626236,-0.3665399239543723
3.1151482709838185,-0.3117870722433458
